Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
2023,100,Austin Hays,27,BAL,AL,2.5,144,566,520,76,143,36,2,16,67,5,1,38,141,0.275,0.325,0.444,0.769,114.0,0.33,111.0,231,11,3,0,5,1,*7/89HD,AS,haysau01
2024,322,Austin Hays,28,2TM,2LG,-0.1,85,255,235,26,60,18,0,5,20,2,2,9,59,255.0,303.0,396.0,699.0,101.0,306.0,101.0,93,2,8,1,2,1,7H/9D,,haysau01
2015,472,Austin Hedges,22,SDP,NL,-0.4,56,152,137,13,23,2,0,3,11,0,0,8,38,0.168,0.215,0.248,0.463,30.0,0.217,22.0,34,1,1,3,3,1,2/H,,hedgeau01
2016,729,Austin Hedges,23,SDP,NL,-0.4,8,26,24,2,3,1,0,0,1,0,1,0,7,0.125,0.154,0.167,0.321,-12.0,0.126,-31.0,4,0,1,0,1,0,/2H,,hedgeau01
2017,233,Austin Hedges,24,SDP,NL,0.9,120,417,387,36,83,17,0,18,55,4,1,23,122,0.214,0.262,0.398,0.66,73.0,0.281,65.0,154,10,3,1,3,3,*2/HD,,hedgeau01
2018,314,Austin Hedges,25,SDP,NL,1.2,91,326,303,29,70,14,2,14,37,3,0,21,90,0.231,0.282,0.429,0.711,95.0,0.314,94.0,130,9,1,0,1,3,2/HD,,hedgeau01
2019,275,Austin Hedges,26,SDP,NL,-0.7,102,347,312,28,55,9,0,11,36,1,0,27,109,0.176,0.252,0.311,0.563,50.0,0.25,44.0,97,3,5,2,1,3,2/H5,,hedgeau01
2021,304,Austin Hedges,28,CLE,AL,0.0,88,312,286,32,51,7,0,10,31,1,0,15,87,0.178,0.22,0.308,0.527,43.0,0.233,36.0,88,7,1,7,3,1,2/H,,hedgeau01
2022,299,Austin Hedges,29,CLE,AL,-0.4,105,338,294,26,48,4,0,7,30,2,0,25,78,0.163,0.241,0.248,0.489,42.0,0.231,40.0,73,12,6,10,3,0,2,,hedgeau01
2023,406,Austin Hedges,30,2TM,2LG,-1.1,81,212,185,14,34,5,0,1,16,1,0,11,47,0.184,0.234,0.227,0.461,27.0,0.215,17.0,42,7,2,10,3,0,2/1DH,,hedgeau01
2024,413,Austin Hedges,31,CLE,AL,-0.6,66,146,132,12,20,3,0,2,15,2,0,6,50,152.0,203.0,220.0,422.0,21.0,199.0,14.0,29,2,3,3,2,0,2/1,,hedgeau01
2024,321,Austin Martin,25,MIN,AL,-1.0,93,257,233,41,59,18,1,1,16,7,3,20,47,253.0,318.0,352.0,670.0,89.0,299.0,87.0,82,4,2,2,0,0,78H4/D,,martiau01
2019,313,Austin Riley,22,ATL,NL,0.1,80,297,274,41,62,11,1,18,49,0,2,16,108,0.226,0.279,0.471,0.75,86.0,0.308,77.0,129,4,5,0,2,3,7H/359D,,rileyau01
2021,22,Austin Riley,24,ATL,NL,6.3,160,662,590,91,179,33,1,33,107,0,1,52,168,0.303,0.367,0.531,0.898,135.0,0.386,137.0,313,11,12,0,8,2,*53/H9,MVP-7SS,rileyau01
2022,10,Austin Riley,25,ATL,NL,6.3,159,693,615,90,168,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,140.0,0.38,141.0,325,13,17,0,4,1,*5/3H,ASMVP-6,rileyau01
2023,9,Austin Riley,26,ATL,NL,5.9,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,130.0,0.367,127.0,328,18,9,0,11,4,*5,ASMVP-7SS,rileyau01
2024,153,Austin Riley,27,ATL,NL,2.9,110,469,425,63,109,26,2,19,56,0,0,37,118,256.0,322.0,461.0,783.0,115.0,343.0,117.0,196,6,5,0,2,0,*5,,rileyau01
2024,526,Austin Shenton,26,TBR,AL,0.1,19,50,42,3,9,5,0,1,3,0,0,8,14,214.0,340.0,405.0,745.0,114.0,329.0,114.0,17,1,0,0,0,0,3/HD,,shentau01
2017,486,Austin Slater,24,SFG,NL,0.1,34,127,117,15,33,3,1,3,16,0,0,8,29,0.282,0.339,0.402,0.74,95.0,0.329,97.0,47,3,2,0,0,0,7/9H58,,slateau01
2018,404,Austin Slater,25,SFG,NL,-0.3,74,225,199,21,50,6,1,1,23,7,0,20,69,0.251,0.333,0.307,0.64,81.0,0.305,83.0,61,5,5,0,1,2,73H9,,slateau01
2019,422,Austin Slater,26,SFG,NL,0.6,68,192,168,20,40,9,3,5,21,1,0,22,59,0.238,0.333,0.417,0.75,99.0,0.334,104.0,70,1,2,0,0,1,9H/374,,slateau01
2021,313,Austin Slater,28,SFG,NL,1.4,129,306,274,39,66,12,1,12,32,15,2,28,84,0.241,0.32,0.423,0.744,101.0,0.336,101.0,116,7,4,0,0,2,*8H79/1D,,slateau01
2022,313,Austin Slater,29,SFG,NL,1.3,125,325,277,49,73,15,2,7,34,12,1,40,89,0.264,0.366,0.408,0.774,121.0,0.356,125.0,113,9,6,0,2,0,*8H79/D,,slateau01
2023,412,Austin Slater,30,SFG,NL,0.7,89,207,185,24,50,9,0,5,20,2,2,20,58,0.27,0.348,0.4,0.748,108.0,0.339,116.0,74,2,2,0,0,0,H87/9D,,slateau01
2024,358,Austin Slater,31,3TM,2LG,-0.2,84,212,177,24,37,4,0,2,18,3,2,26,60,209.0,321.0,266.0,586.0,73.0,279.0,81.0,47,5,5,0,4,0,9H78/D,,slateau01
2023,593,Austin Wells,23,NYY,AL,0.1,19,75,70,8,16,6,0,4,13,0,0,3,14,0.229,0.257,0.486,0.742,97.0,0.307,89.0,34,3,0,0,1,0,2/H,,wellsau01
2024,199,Austin Wells,24,NYY,AL,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,229.0,322.0,395.0,718.0,103.0,318.0,104.0,140,9,5,1,7,0,*2H/D,ROY-3,wellsau01
2018,522,Austin Wynns,27,BAL,AL,0.4,42,118,110,16,28,2,0,4,11,0,0,5,25,0.255,0.287,0.382,0.669,83.0,0.308,90.0,42,7,0,3,0,0,2/HD,,wynnsau01
2019,579,Austin Wynns,28,BAL,AL,0.3,28,74,70,8,15,1,0,1,5,0,0,3,14,0.214,0.247,0.271,0.518,38.0,0.265,54.0,19,2,0,1,0,0,2/HD,,wynnsau01
2021,529,Austin Wynns,30,BAL,AL,-0.6,45,139,130,14,24,4,0,4,14,1,0,8,31,0.185,0.232,0.308,0.54,47.0,0.243,43.0,40,6,0,1,0,0,2/13DH,,wynnsau01
2022,473,Austin Wynns,31,SFG,NL,0.5,65,177,162,14,42,7,0,3,21,0,0,10,38,0.259,0.313,0.358,0.671,91.0,0.308,95.0,58,9,3,1,1,0,2/DH1,,wynnsau01
2023,489,Austin Wynns,32,3TM,NL,-0.2,51,145,130,11,27,6,0,1,10,1,0,9,39,0.208,0.268,0.277,0.545,44.0,0.255,37.0,36,4,2,3,1,0,2/H,,wynnsau01
2024,587,Austin Wynns,33,CIN,NL,0.4,7,20,19,3,7,4,0,0,2,0,0,0,5,368.0,400.0,579.0,979.0,164.0,409.0,160.0,11,0,1,0,0,0,/2H,,wynnsau01
2015,84,Avisaíl García,24,CHW,AL,0.3,148,601,553,66,142,17,2,13,59,7,7,36,141,0.257,0.309,0.365,0.675,89.0,0.301,89.0,202,13,8,0,4,3,*9D/H,,garciav01
2016,191,Avisaíl García,25,CHW,AL,0.9,120,453,413,59,101,18,2,12,51,4,4,34,115,0.245,0.307,0.385,0.692,89.0,0.315,97.0,159,9,4,0,2,0,D97/H,,garciav01
2017,114,Avisaíl García,26,CHW,AL,4.4,136,561,518,75,171,27,5,18,80,5,3,33,111,0.33,0.38,0.506,0.885,138.0,0.384,142.0,262,14,9,0,1,5,*9/DH,AS,garciav01
2018,263,Avisaíl García,27,CHW,AL,0.5,93,385,356,47,84,11,2,19,49,3,1,20,102,0.236,0.281,0.438,0.719,95.0,0.317,97.0,156,9,4,0,5,2,9/D,,garciav01
2019,125,Avisaíl García,28,TBR,AL,2.2,125,530,489,61,138,25,2,20,72,10,4,31,125,0.282,0.332,0.464,0.796,112.0,0.341,112.0,227,15,7,0,3,2,9D8/H,,garciav01
2021,155,Avisaíl García,30,MIL,NL,3.0,135,515,461,68,121,18,0,29,86,8,4,38,121,0.262,0.33,0.49,0.82,119.0,0.357,121.0,226,12,11,0,5,5,*9H/8,,garciav01
2022,260,Avisaíl García,31,MIA,NL,-1.1,98,380,357,31,80,9,0,8,35,4,0,17,109,0.224,0.266,0.317,0.582,64.0,0.269,64.0,113,12,4,0,2,0,9D/H,,garciav01
2023,520,Avisaíl García,32,MIA,NL,-0.5,37,118,108,8,20,3,1,3,12,2,0,6,39,0.185,0.241,0.315,0.556,47.0,0.244,37.0,34,1,2,0,0,1,97/HD8,,garciav01
2024,524,Avisaíl García,33,MIA,NL,-0.2,18,51,50,4,12,1,0,2,2,0,0,1,13,240.0,255.0,380.0,635.0,70.0,269.0,58.0,19,4,0,0,0,0,9/H,,garciav01
2016,603,Ben Gamel,24,2TM,AL,-0.3,33,57,48,9,9,2,0,1,5,0,0,6,16,0.188,0.278,0.292,0.569,57.0,0.29,74.0,14,1,0,3,0,0,9/H78,,gamelbe01
2017,121,Ben Gamel,25,SEA,AL,1.0,134,550,509,68,140,27,5,11,59,4,1,36,122,0.275,0.322,0.413,0.735,100.0,0.327,103.0,210,8,1,1,3,1,*79/H3,,gamelbe01
2018,341,Ben Gamel,26,SEA,AL,0.5,101,293,257,37,70,14,4,1,19,7,3,31,61,0.272,0.358,0.37,0.728,106.0,0.324,106.0,95,4,4,0,1,1,79H/D83,,gamelbe01
2019,267,Ben Gamel,27,MIL,NL,0.6,134,356,311,47,77,18,0,7,33,2,2,40,104,0.248,0.337,0.373,0.71,85.0,0.315,86.0,116,0,3,0,2,2,7H98,,gamelbe01
2021,226,Ben Gamel,29,2TM,2LG,-0.3,122,400,340,43,84,18,3,8,26,3,6,51,105,0.247,0.347,0.388,0.735,100.0,0.322,100.0,132,7,3,2,4,2,7H89/3,,gamelbe01
2022,223,Ben Gamel,30,PIT,NL,0.1,115,423,371,42,86,20,2,9,46,5,1,48,98,0.232,0.324,0.369,0.693,97.0,0.314,98.0,137,5,3,0,1,2,79DH/38,,gamelbe01
2023,720,Ben Gamel,31,SDP,NL,-0.2,6,15,15,2,3,1,0,0,2,0,0,0,2,0.2,0.2,0.267,0.467,28.0,0.196,14.0,4,0,0,0,0,0,/7H9D,,gamelbe01
2024,456,Ben Gamel,32,2TM,2LG,0.2,38,99,81,22,20,4,0,1,4,1,0,18,24,247.0,384.0,333.0,717.0,109.0,338.0,118.0,27,0,0,0,0,1,97/HD,,gamelbe01
2024,382,Ben Rice,25,NYY,AL,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,171.0,264.0,349.0,613.0,72.0,275.0,74.0,53,2,1,0,5,0,3/H2,,ricebe01
2021,584,Ben Rortvedt,23,MIN,AL,-0.1,39,98,89,8,15,1,0,3,7,0,0,6,29,0.169,0.229,0.281,0.51,41.0,0.226,34.0,25,2,1,2,0,0,2/HD,,rortvbe01
2023,586,Ben Rortvedt,25,NYY,AL,-0.2,32,79,68,6,8,1,0,2,4,0,0,11,19,0.118,0.241,0.221,0.461,28.0,0.218,26.0,15,1,0,0,0,0,2/HD,,rortvbe01
2024,261,Ben Rortvedt,26,TBR,AL,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,228.0,317.0,303.0,621.0,80.0,287.0,83.0,88,6,4,0,0,0,*2H/1,,rortvbe01
2024,528,Billy Cook,25,PIT,NL,0.6,16,49,49,5,11,2,0,3,8,1,0,0,19,224.0,224.0,449.0,673.0,82.0,287.0,73.0,22,0,0,0,0,0,/3897,,cookbi01
2018,507,Billy McKinney,23,2TM,AL,0.1,38,132,119,14,30,7,0,6,13,1,0,11,33,0.252,0.318,0.462,0.78,113.0,0.334,108.0,55,0,1,0,1,0,79/H3,,mckinbi01
2019,345,Billy McKinney,24,TOR,AL,0.3,84,276,251,37,54,14,1,12,28,0,2,19,73,0.215,0.274,0.422,0.696,83.0,0.306,89.0,106,0,2,2,2,0,97H/3D,,mckinbi01
2021,318,Billy McKinney,26,3TM,NL,0.0,116,300,265,32,51,11,3,9,27,2,0,32,79,0.192,0.28,0.358,0.638,72.0,0.28,64.0,95,3,1,0,2,2,9H73/8,,mckinbi01
2022,682,Billy McKinney,27,OAK,AL,-0.8,23,57,52,3,5,1,0,1,4,0,0,4,16,0.096,0.158,0.173,0.331,-2.0,0.144,-18.0,9,0,0,0,1,1,9/3H7D,,mckinbi01
2023,485,Billy McKinney,28,NYY,AL,0.2,48,147,128,19,29,3,1,6,14,1,0,17,39,0.227,0.32,0.406,0.726,98.0,0.314,93.0,52,1,1,0,1,1,79/8H3,,mckinbi01
2024,575,Billy McKinney,29,PIT,NL,0.0,10,28,25,4,5,1,0,0,2,0,0,2,13,200.0,286.0,240.0,526.0,49.0,247.0,48.0,6,1,1,0,0,0,/79H8,,mckinbi01
2024,571,Blake Dunn,25,CIN,NL,-0.2,19,29,26,8,4,1,0,1,1,2,0,2,11,154.0,241.0,308.0,549.0,49.0,263.0,44.0,8,1,1,0,0,0,7/H89D,,dunnbl01
2023,459,Blake Perkins,26,MIL,NL,1.2,67,168,143,28,31,7,0,4,20,5,2,23,46,0.217,0.325,0.35,0.675,85.0,0.303,85.0,50,3,0,2,0,0,98H7/D,,perkibl01
2024,185,Blake Perkins,27,MIL,NL,1.8,121,434,383,54,92,13,2,6,43,23,5,42,108,240.0,316.0,332.0,647.0,81.0,301.0,81.0,127,3,3,0,6,1,*8H/D,,perkibl01
2023,289,Blake Sabol,25,SFG,NL,0.2,110,344,310,36,73,10,0,13,44,4,2,24,117,0.235,0.301,0.394,0.695,92.0,0.31,94.0,122,4,6,2,2,0,27HD,,sabolbl01
2024,554,Blake Sabol,26,SFG,NL,0.3,11,38,32,3,10,2,0,0,1,0,0,5,9,313.0,421.0,375.0,796.0,133.0,350.0,132.0,12,0,1,0,0,1,/2DH,,sabolbl01
2024,377,Blaze Alexander,25,ARI,NL,0.0,61,185,166,19,41,7,0,3,21,3,1,15,49,247.0,321.0,343.0,664.0,86.0,301.0,87.0,57,1,3,1,0,0,64D/H5,,alexabl01
2022,551,Bligh Madris,26,PIT,NL,-1.0,39,123,113,10,20,7,0,1,7,2,1,10,31,0.177,0.244,0.265,0.509,45.0,0.231,40.0,30,0,0,0,0,0,9/37HD8,,madribl01
2023,685,Bligh Madris,27,HOU,AL,-0.3,12,30,26,4,4,1,0,0,0,0,0,4,7,0.154,0.267,0.192,0.459,31.0,0.223,31.0,5,0,0,0,0,0,/HD317,,madribl01
2024,488,Bligh Madris,28,DET,AL,0.2,21,75,67,8,18,3,0,1,5,0,0,6,20,269.0,324.0,358.0,683.0,95.0,298.0,89.0,24,0,0,0,1,0,3/9H,,madribl01
2019,402,Bo Bichette,21,TOR,AL,2.4,46,212,196,32,61,18,0,11,21,4,4,14,50,0.311,0.358,0.571,0.93,144.0,0.376,140.0,112,2,1,0,1,0,6/D,,bichebo01
2021,7,Bo Bichette,23,TOR,AL,5.8,159,690,640,121,191,30,1,29,102,25,1,40,137,0.298,0.343,0.484,0.828,121.0,0.365,122.0,310,10,6,0,4,0,*6D,ASMVP-12,bichebo01
2022,7,Bo Bichette,24,TOR,AL,3.7,159,697,652,91,189,43,1,24,93,13,8,41,155,0.29,0.333,0.469,0.802,128.0,0.355,133.0,306,21,2,0,2,0,*6/DH,MVP-11,bichebo01
2023,75,Bo Bichette,25,TOR,AL,4.9,135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,122.0,0.355,127.0,271,14,2,0,1,0,*6/DH,ASMVP-16,bichebo01
2024,255,Bo Bichette,26,TOR,AL,-0.3,81,336,311,29,70,16,1,4,31,5,1,20,64,225.0,277.0,322.0,598.0,71.0,269.0,68.0,100,12,3,0,2,1,6,,bichebo01
2022,829,Bo Naylor,22,CLE,AL,-0.2,5,8,8,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100.0,0.0,-125.0,0,0,0,0,0,0,/2D,,naylobo01
2023,394,Bo Naylor,23,CLE,AL,1.5,67,230,198,33,47,13,0,11,32,5,0,30,53,0.237,0.339,0.47,0.809,121.0,0.35,122.0,93,2,1,0,1,1,2/H,,naylobo01
2024,214,Bo Naylor,24,CLE,AL,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,201.0,264.0,350.0,614.0,73.0,272.0,71.0,124,3,2,2,2,1,*2H/D,,naylobo01
2021,195,Bobby Dalbec,26,BOS,AL,0.3,133,453,417,50,100,21,5,25,78,2,0,28,156,0.24,0.298,0.494,0.792,107.0,0.332,101.0,206,3,7,0,1,1,*35H/6D,,dalbebo01
2022,286,Bobby Dalbec,27,BOS,AL,-0.7,117,353,317,40,68,9,2,12,39,3,0,29,118,0.215,0.283,0.369,0.652,80.0,0.302,83.0,117,5,3,0,4,0,35H/D46,,dalbebo01
2023,635,Bobby Dalbec,28,BOS,AL,-0.2,21,53,49,6,10,2,0,1,1,1,0,4,28,0.204,0.264,0.306,0.57,54.0,0.259,48.0,15,0,0,0,0,0,3/H5D46,,dalbebo01
2024,466,Bobby Dalbec,29,BOS,AL,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,133.0,217.0,193.0,410.0,16.0,196.0,4.0,16,1,1,1,0,0,35/H9D,,dalbebo01
2022,43,Bobby Witt Jr.,22,KCR,AL,0.9,150,632,591,82,150,31,6,20,80,30,7,30,135,0.254,0.294,0.428,0.722,102.0,0.319,97.0,253,12,6,0,5,2,65/DH,ROY-4,wittbo02
2023,13,Bobby Witt Jr.,23,KCR,AL,4.4,158,694,641,97,177,28,11,30,96,49,15,40,121,0.276,0.319,0.495,0.813,118.0,0.348,116.0,317,11,4,1,8,1,*6D/H,MVP-7,wittbo02
2024,6,Bobby Witt Jr.,24,KCR,AL,9.4,161,709,636,125,211,45,11,32,109,31,12,57,106,332.0,389.0,588.0,977.0,171.0,416.0,171.0,374,4,8,0,8,9,*6/D,ASMVP-2GGSS,wittbo02
2023,752,Braden Shewmake,25,ATL,NL,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,-133.0,0,0,0,0,0,0,/6,,shewmbr01
2024,500,Braden Shewmake,26,CHW,AL,-0.6,29,67,64,4,8,2,0,1,4,5,1,1,10,125.0,134.0,203.0,337.0,-5.0,154.0,-19.0,13,0,0,0,2,0,6/54HD,,shewmbr01
2015,105,Brandon Crawford,28,SFG,NL,5.8,143,561,507,65,130,33,4,21,84,6,4,39,119,0.256,0.321,0.462,0.782,113.0,0.341,111.0,234,18,11,0,4,9,*6/H,ASGGSS,crawfbr01
2016,75,Brandon Crawford,29,SFG,NL,5.5,155,623,553,67,152,28,11,12,84,7,0,57,115,0.275,0.342,0.43,0.772,108.0,0.332,101.0,238,13,4,0,9,10,*6/H,MVP-12GG,crawfbr01
2017,105,Brandon Crawford,30,SFG,NL,2.1,144,570,518,58,131,34,1,14,77,3,5,42,113,0.253,0.305,0.403,0.709,85.0,0.306,82.0,209,18,1,0,9,3,*6/H,GG,crawfbr01
2018,86,Brandon Crawford,31,SFG,NL,1.5,151,594,531,63,135,28,2,14,54,4,5,50,122,0.254,0.325,0.394,0.719,100.0,0.31,95.0,209,12,8,0,5,13,*6/H,AS,crawfbr01
2019,99,Brandon Crawford,32,SFG,NL,-0.5,147,560,500,58,114,24,2,11,59,3,2,53,117,0.228,0.304,0.35,0.654,74.0,0.289,73.0,175,10,3,0,4,5,*6/H,,crawfbr01
2021,122,Brandon Crawford,34,SFG,NL,6.1,138,549,483,79,144,30,3,24,90,11,3,56,105,0.298,0.373,0.522,0.895,141.0,0.389,143.0,252,8,5,0,5,6,*6/H,ASMVP-4GG,crawfbr01
2022,193,Brandon Crawford,35,SFG,NL,0.7,118,458,407,50,94,15,2,9,52,1,1,39,98,0.231,0.308,0.344,0.652,86.0,0.294,86.0,140,12,8,0,4,3,*6/H,,crawfbr01
2023,314,Brandon Crawford,36,SFG,NL,-1.3,93,320,283,31,55,11,1,7,38,3,0,28,81,0.194,0.273,0.314,0.587,63.0,0.265,60.0,89,5,4,1,4,1,6/H1,,crawfbr01
2024,480,Brandon Crawford,37,STL,NL,-0.2,28,80,71,5,12,5,0,1,4,0,0,8,26,169.0,263.0,282.0,544.0,53.0,247.0,49.0,20,0,1,0,0,0,6/5HD1,,crawfbr01
2015,639,Brandon Drury,22,ARI,NL,-0.2,20,59,56,3,12,3,0,2,8,0,0,2,8,0.214,0.254,0.375,0.629,66.0,0.274,55.0,21,5,1,0,0,0,5/4H6,,drurybr01
